# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène()
0	0	19977
4	0	24819
6	0	28459
8	0	32494
10	0	36844
12	0	41207
14	0	45764
17	0	51510
20	0	55122
23	0	56366
26	0	56049
28	0	55729
31	0	55181
33	0	54843
35	0	54826
37	0	54487
39	0	54180
41	0	54303
43	0	54240
46	0	53959
48	0	54093
50	0	53994
52	0	54063
54	0	54181
56	0	54227
58	0	54526
60	0	54514
62	0	54567
64	0	54543
67	0	54644
69	0	54627
71	0	54491
73	25	54431
76	68	54491
79	162	54387
81	309	54331
83	513	54441
85	842	54509
87	1215	54483
89	1747	54295
91	2412	54446
93	3023	54532
95	3722	54802
97	4353	54724
99	5019	54717
101	5804	54696
104	6714	54414
107	7605	54457
109	7995	54430
111	8509	54398
113	8805	54351
115	9031	54380
117	9216	54411
118	9216	54411
514
61	0	54521
62	0	54567
63	0	54568
64	0	54543
65	0	54421
66	0	54526
67	0	54644
68	0	54648
69	0	54627
70	0	54536
71	0	54491
72	19	54547
73	25	54431
74	31	54476
75	50	54536
76	68	54491
77	96	54393
78	122	54364
79	162	54387
80	235	54282
81	309	54331
82	412	54290
83	513	54441
84	643	54512
85	842	54509
86	1005	54474
87	1215	54483
88	1475	54435
89	1747	54295
90	2027	54310
91	2412	54446
92	2682	54486
93	3023	54532
94	3381	54730
95	3722	54802
96	3999	54838
97	4353	54724
98	4721	54704
99	5019	54717
100	5498	54626
101	5804	54696
102	6143	54496
103	6448	54468
104	6714	54414
105	7075	54407
106	7311	54348
107	7605	54457
108	7822	54471
109	7995	54430
110	8243	54383
111	8509	54398
112	8640	54294
113	8805	54351
114	8954	54324
115	9031	54380
116	9136	54448
117	9216	54411
118	9168	54396
119	9006	54444
